,Pre-Analytics (1996-2004),Modern (2004-2022)
VORP,0.07668893561330528,0.17482730044617573
PER,0.1378415635943699,0.07775597060151031
BPM,0.08141147893740186,0.0759821356397425
WS/48,0.05514614209107059,0.06848553003339232
net_rating,0.05092463670299448,0.04937320461502125
pts,0.044056254621346526,0.040002975151018916
usg_pct,0.025233949249379013,0.03882046718670597
TOV,0.017668223894104596,0.03411034995128463
ast,0.017594271565390743,0.01840680998528067
reb,0.019405849861127887,0.006860017782795454
ts_pct,0.00821641716871,0.015150446394213835
BLK,0.008993526499450106,0.00606938380627308
eFG%,0.005176390895491723,0.009207650298549194
dreb_pct,0.005446876383459335,0.007227708235595353
STL,0.006744830036082861,0.005152240824841821
oreb_pct,0.006474250499820933,0.005386626361156888
FTr,0.005096311008531747,0.006265853268495839
